NAME,LATITUDE,LONGITUDE,TYPE
BRENNDALSBREEN,61.68,6.93,Outlet glacier
BRIDGE,50.82,-123.57,Outlet glacier
BRIKSDALSBREEN,61.66,6.93,Outlet glacier
BROKARJOEKULL,64.25,-16.12,Outlet glacier
BROUNOVE,76.33,64.83,Outlet glacier
BROWN,-53.325,73.63499999999999,Outlet glacier
BRUARJOEKULL,64.67,-16.17,Outlet glacier
BUERBREEN,60.03,6.4,Outlet glacier
CACHET,-47.1,-73.2,Outlet glacier
CALVO,-50.68,-73.35,Outlet glacier
CHAEVA,76.19,63.11,Outlet glacier
CHENEGA,60.28,-148.48,Outlet glacier
CHERNYSHEVA,76.0,60.93,Outlet glacier
CHICO,-49.0,-73.07,Outlet glacier
CHYDENIUSBREEN,79.2,18.0,Outlet glacier
COLONIA,-47.25,-73.23,Outlet glacier
COLUMBIA CDN 35,52.17,-117.28,Outlet glacier
CONTACT,60.45,-148.42,Outlet glacier
DECADE,69.63,-68.85,Outlet glacier
DICKSON,-50.78,-73.15,Outlet glacier
DIMDAL-FRUKOSTTINDBREEN,66.7,13.95,Outlet glacier
DUNERBREEN,79.78,16.81,Outlet glacier
DYNGJUJOEKULL,64.67,-17.0,Outlet glacier
EAST TWIN,58.58,-133.88,Outlet glacier
ENGABREEN,66.65,13.85,Outlet glacier
ERDALSBREEN,61.82,7.27,Outlet glacier
ERICABREEN,79.5,21.25,Outlet glacier
ETONBREEN,79.65,22.62,Outlet glacier
EUROPA,-50.3,-73.87,Outlet glacier
EXIT,60.15,-149.73,Outlet glacier
EXPLORADORES,-46.5,-73.17,Outlet glacier
EYJABAKKAJOEKULL,64.65,-15.58,Outlet glacier
EYVINDSTUNGNAK,64.25,-15.8,Outlet glacier
FAABERGSTOELSBREEN,61.72,7.23,Outlet glacier
FALLJOEKULL,63.98,-16.75,Outlet glacier
FIERO,-46.7,-73.2,Outlet glacier
FJALLSJOEKULL BY BREIDAMERKURFJALL,64.04,-16.4,Outlet glacier
FJALLSJOEKULL BY GAMLASEL,64.01,-16.42,Outlet glacier
FJALLSJOEKULL FITJAR,64.03,-16.52,Outlet glacier
FLAAJOEKULL,64.33,-15.13,Outlet glacier
FLATISVATNET,66.63,13.9,Outlet glacier
FLEUR D.NEIGES,49.85,-123.6,Outlet glacier
FORREST KERR,56.9,-130.93,Outlet glacier
FRANKLINBREEN N+S,80.08,19.83,Outlet glacier
FRAZERBREEN,79.87,20.48,Outlet glacier
FROSTISEN,68.25,17.12,Outlet glacier
GEITLANDSJOEKULL,64.67,-20.53,Outlet glacier
GIGJOEKULL,63.67,-19.62,Outlet glacier
GLIMLEBREEN,79.78,18.85,Outlet glacier
GRAAFJELLSBREA,60.08,6.39,Outlet glacier
GREVE,-48.97,-73.92,Outlet glacier
GREY,-51.02,-73.2,Outlet glacier
GRIFFIN,49.85,-122.63,Outlet glacier
GROSSE,-46.45,-73.3,Outlet glacier
GUALAS N-TONGUE,-46.55,-73.67,Outlet glacier
GUALAS S-TONGUE,-46.55,-73.67,Outlet glacier
HAGAFELLSJOEKULL E,64.49,-20.26,Outlet glacier
HAGAFELLSJOEKULL W,64.49,-20.41,Outlet glacier
HANSBREEN,77.08,15.67,Outlet glacier
HARDANGERJOEKULEN,60.53,7.37,Outlet glacier
HARE,82.5,-37.5,Outlet glacier
HAVOC,50.52,-123.88,Outlet glacier
HEINABERGSJOEKULL,64.29,-15.67,Outlet glacier
HINLOPENBREEN,79.0,19.0,Outlet glacier
HOCHSTETTERBREEN,78.88,20.2,Outlet glacier
HOFFELLSJOEKULL W,64.48,-15.57,Outlet glacier
HOFSJOEKULL E,64.8,-18.58,Outlet glacier
HOFSJOEKULL N,64.95,-18.92,Outlet glacier
HOFSJOEKULL SW,64.72,-19.05,Outlet glacier
HOLE IN TH.WALL,58.47,-134.03,Outlet glacier
HOLMSTROEMBREEN,78.85,14.18,Outlet glacier
HOONAH,58.83,-137.05,Outlet glacier
HORNBREEN,77.07,16.82,Outlet glacier
HPN 1,-47.18,-73.87,Outlet glacier
HPN 2,-47.23,-73.9,Outlet glacier
HPN 3,-47.32,-73.92,Outlet glacier
HPN 4,-47.45,-73.58,Outlet glacier
HPS12,-49.68,-73.75,Outlet glacier
HPS13,-49.72,-73.67,Outlet glacier
HPS15,-49.8,-73.7,Outlet glacier
HPS19,-50.0,-73.92,Outlet glacier
HPS28,-50.42,-73.58,Outlet glacier
HPS29,-50.47,-73.6,Outlet glacier
HPS31,-50.6,-73.55,Outlet glacier
HPS34,-50.72,-73.53,Outlet glacier
HPS38,-51.05,-73.75,Outlet glacier
HPS41,-51.3,-73.57,Outlet glacier
HPS8,-49.0,-73.67,Outlet glacier
HPS9,-49.05,-73.8,Outlet glacier
HRUTARJOEKULL,64.02,-16.53,Outlet glacier
HURD,-62.68,-60.4,Outlet glacier
HYRNINGSJOEKULL,64.81,-23.73,Outlet glacier
IDUNBREEN,79.85,19.8,Outlet glacier
ILLECILLEWAET,51.23,-117.42,Outlet glacier
INOSTRANZEVA,76.5,66.05,Outlet glacier
JACKA,-53.0,73.33,Outlet glacier
JOEKULHALS,64.82,-23.75,Outlet glacier
JOEKULKROKUR,64.81,-19.81,Outlet glacier
JOHNSONS,-62.66,-60.35,Outlet glacier
JORGE MONTT,-48.33,-73.5,Outlet glacier
KALDALONSJOEKULL,66.12,-22.29,Outlet glacier
KIRKJUJOEKULL,64.73,-19.85,Outlet glacier
KJENNDALSBREEN,61.71,7.01,Outlet glacier
KOELDUKVISLARJ.,64.58,-17.83,Outlet glacier
KOETLUJOEKULL,63.55,-18.82,Outlet glacier
KONGSVEGEN,78.8,12.98,Outlet glacier
KOTARJOEKULL,63.96,-16.7,Outlet glacier
KRAYNIY 1,75.91,59.96,Outlet glacier
KRAYNIY2,75.89,59.81,Outlet glacier
KRIVOSHEINA,75.74,58.78,Outlet glacier
KRONEBREEN,78.96,13.18,Outlet glacier
KROPOTKINA,75.44,61.88,Outlet glacier
KVERKJOEKULL,64.72,-16.65,Outlet glacier
KVIARJOEKULL,63.97,-16.57,Outlet glacier
KVISLAJOEKULL,64.85,-19.16,Outlet glacier
LAIKA GLACIER,75.88,-79.5,Outlet glacier
LAMPLUGH,58.76,-136.87,Outlet glacier
LANGFJORDJOEKELEN,70.12,21.73,Outlet glacier
LEIRUFJARDARJOEKULL,66.19,-22.44,Outlet glacier
LEONES,-46.77,-73.22,Outlet glacier
LOWELL,60.33,-138.25,Outlet glacier
MAC KEITH N,62.13,-144.0,Outlet glacier
MAKA,76.29,64.29,Outlet glacier
MAUDBREEN,80.18,21.03,Outlet glacier
MEMORGEBREEN,66.63,13.69,Outlet glacier
MENDENHALL,58.51,-134.54,Outlet glacier
MIDDAGSTUVEBREEN,66.72,13.99,Outlet glacier
MIDTDALSBREEN,60.57,7.47,Outlet glacier
MILNE,82.4,-80.0,Outlet glacier
MORENO,-50.5,-73.12,Outlet glacier
MORSARJOEKULL,64.09,-16.94,Outlet glacier
MOSHNIY,75.53,62.79,Outlet glacier
MULAJOEKULL S,64.67,-18.66,Outlet glacier
MULAJOEKULL W,64.67,-18.72,Outlet glacier
NALLI,75.77,63.55,Outlet glacier
NAUTHAGAJOEKULL,64.65,-18.76,Outlet glacier
NEF,-47.1,-73.18,Outlet glacier
NEGRIBREEN,78.66,18.66,Outlet glacier
NELLIE JUAN,60.45,-148.4,Outlet glacier
NIGARDSBREEN,61.72,7.13,Outlet glacier
NIIGA,75.32,61.35,Outlet glacier
NORDENSKIOELDBREEN,78.7,17.18,Outlet glacier
NORDFJORDBREEN,66.61,13.83,Outlet glacier
NORRIS,58.45,-134.18,Outlet glacier
NORTHERN PART,66.75,14.05,Outlet glacier
O'HIGGINS,-48.92,-73.17,Outlet glacier
OCCIDENTAL,-48.83,-74.0,Outlet glacier
OELDUFELLSJOEKULL,63.73,-18.84,Outlet glacier
OFHIDRO,-48.42,-73.85,Outlet glacier
OKSTINDBREEN,66.01,14.29,Outlet glacier
OSBORNEBREEN,78.63,13.28,Outlet glacier
PAIERLBREEN,77.13,15.75,Outlet glacier
PALANDERBREEN,79.5,20.93,Outlet glacier
PARED NORTE,-47.47,-73.25,Outlet glacier
PARED SUR,-47.45,-73.33,Outlet glacier
PENGUIN,-50.08,-73.92,Outlet glacier
PER ARDUA,81.52,-76.22,Outlet glacier
PINGO,-51.03,-73.35,Outlet glacier
PIO XI (BRUEGGEN),-49.22,-74.0,Outlet glacier
PISCIS,-47.45,-73.42,Outlet glacier
QIERGANBULAK,38.23,75.1,Outlet glacier
REICHER NE,-46.48,-73.58,Outlet glacier
REICHER SW,-46.48,-73.58,Outlet glacier
REID,58.75,-136.8,Outlet glacier
REMBESDALSKAAKA,60.53,7.36,Outlet glacier
REYKJAFJARDARJOEKULL,66.2,-22.18,Outlet glacier
RIJPBREEN,80.05,21.21,Outlet glacier
RJUPNABREKKUJOEKULL,64.72,-17.56,Outlet glacier
ROZE,75.95,66.15,Outlet glacier
ROZHDESTVENSKOGO,75.77,64.99,Outlet glacier
RUNDVASSBREEN,67.29,16.05,Outlet glacier
RYKACHEVA,76.24,63.52,Outlet glacier
S MAC KEITH,62.1,-143.97,Outlet glacier
SABINEBREEN,80.17,20.62,Outlet glacier
SAN QUINTIN,-46.87,-74.08,Outlet glacier
SAN RAFAEL,-46.68,-73.85,Outlet glacier
SASKATCHEWAN,52.2,-117.13,Outlet glacier
SATUJOEKULL,64.92,-18.83,Outlet glacier
SAUANUTBREEN,59.98,6.4,Outlet glacier
SHOKAL'SKOGO,76.16,62.62,Outlet glacier
SHURY 1,75.19,61.17,Outlet glacier
SHURY 2,75.14,60.87,Outlet glacier
SIDUJOEKULL E M 175,64.18,-17.88,Outlet glacier
SIDUJOEKULL E M 177,64.11,-17.74,Outlet glacier
SKAFTAFELLSJOEKULL,64.02,-16.9,Outlet glacier
SKALAFELLSJOEKULL,64.27,-15.67,Outlet glacier
SKEIDARARJOEKULL E1,64.03,-17.09,Outlet glacier
SKEIDARARJOEKULL E2,64.01,-17.11,Outlet glacier
SKEIDARARJOEKULL E3,64.01,-17.14,Outlet glacier
SKEIDARARJOEKULL M,63.99,-17.22,Outlet glacier
SKEIDARARJOEKULL W,64.01,-17.37,Outlet glacier
SLAKBREEN,77.98,16.53,Outlet glacier
SLETTJOEKULL,63.77,-19.2,Outlet glacier
SOLER,-46.9,-73.18,Outlet glacier
SOLHEIMAJOEKULL W,63.53,-19.37,Outlet glacier
SREDNIY,75.9,65.66,Outlet glacier
STAIRCASE,49.93,-122.6,Outlet glacier
STEFFEN,-47.53,-73.7,Outlet glacier
STEGHOLTBREEN,61.8,7.31,Outlet glacier
STORE SUPPHELLEBREEN,61.52,6.8,Outlet glacier
STORGLOMBREEN,66.67,14.0,Outlet glacier
SVARTENUTBREEN,59.99,6.41,Outlet glacier
SVINAFELLSJOEKULL,63.99,-16.88,Outlet glacier
SYKORA,50.87,-123.58,Outlet glacier
TAISIYA  2,75.94,60.39,Outlet glacier
TAISIYA 1,75.94,60.28,Outlet glacier
TAKU,58.55,-134.13,Outlet glacier
TAYLOR AN,-77.75,162.0,Outlet glacier
TEMPANO,-48.73,-74.05,Outlet glacier
THOMPSON GLACIE,79.47,-90.17,Outlet glacier
THUNDERCLAP,49.85,-122.65,Outlet glacier
TUFTEBREEN,61.67,7.14,Outlet glacier
TUNABREEN,78.58,17.55,Outlet glacier
TUNGNAARJOEKULL,64.32,-18.07,Outlet glacier
TUNSBERGDALSBREEN,61.6,7.05,Outlet glacier
TYSTIGBREEN,61.93,7.35,Outlet glacier
UNNAMED 1,75.53,62.03,Outlet glacier
UNNAMED 2,75.4,61.79,Outlet glacier
UNNAMED 3,75.64,63.0,Outlet glacier
UNNAMED 4,76.1,61.64,Outlet glacier
UNNAMED 5,76.13,62.07,Outlet glacier
UNNAMED 6,76.11,62.26,Outlet glacier
UNNAMED 7,76.49,65.51,Outlet glacier
UNNAMED RC1,-46.47,-73.38,Outlet glacier
UNNAMED RC2,-47.47,-73.52,Outlet glacier
UNNAMED RC3,-47.5,-73.48,Outlet glacier
UNNAMED RC4,-47.37,-73.3,Outlet glacier
UNNAMED RC5,-47.05,-73.32,Outlet glacier
UNNAMED RC6,-46.65,-73.18,Outlet glacier
UPSALA,-50.0,-73.28,Outlet glacier
VAHSEL,-53.33,73.38499999999999,Outlet glacier
VALTOURNANCHE,45.92,7.7,Outlet glacier
VEL'KENA,76.27,64.15,Outlet glacier
VERSHINSKOGO,75.74,64.28,Outlet glacier
VERTEBRAE 20,-43.33,170.59,Outlet glacier
VESLEDALSBREEN,61.84,7.26,Outlet glacier
VICTORIA LOWER,-77.37,162.28,Outlet glacier
VIL'KITSKOGO (NORTHERN),75.54,58.36,Outlet glacier
VIL'KITSKOGO (SOUTHERN),75.6,58.4,Outlet glacier
VIRKISJOEKULL,64.0,-16.75,Outlet glacier
VIZE,76.44,65.21,Outlet glacier
VOEYKOVA,76.33,64.5,Outlet glacier
VYLKI 1,75.09,60.56,Outlet glacier
VYLKI 2,75.13,60.82,Outlet glacier
WEST TWIN,58.58,-133.97,Outlet glacier
WRIGHT UPPER B,-77.55,166.5,Outlet glacier
AASGAARDFONNNA ICE CAP,79.5,16.5,Ice cap
AGASSIZ ICE CAP,80.4,-75.0,Ice cap
AMITSULOQ ISKA.,66.12,-50.22,Ice cap
ANZAC PEAK,-53.0,73.32,Ice cap
BALDERFONNA ICE CAP,79.35,18.25,Ice cap
BARENTSJOEKULLEN,78.4,21.5,Ice cap
BARNES ICE CAP,70.0,-73.5,Ice cap
BARNES ICE CAP SOUTH DOME N SLOPE,69.78,-72.42,Ice cap
BLAAMANNSISEN,67.26,16.07,Ice cap
COROPUNA,-15.54,-72.66,Ice cap
DEVON ICE CAP,75.2,-81.9,Ice cap
DEVON ICE CAP NE,75.5,-80.92,Ice cap
DEVON ICE CAP NW,75.42,-83.25,Ice cap
DEVON ICE CAP SE,75.0,-81.17,Ice cap
DEVON ICE CAP SW,75.17,-83.0,Ice cap
DIGERFONNA ICE CAP,77.7,22.0,Ice cap
EDGEOEYJOEKULEN,77.75,23.5,Ice cap
EYJAFJALLAJOEKULL,63.62,-19.62,Ice cap
GRAN CAMPO NEVADO (GCN),-52.8,-73.1,Ice cap
GULIYA,35.28,81.48,Ice cap
HANS TAUSEN ICE CAP,82.8,-36.44,Ice cap
LANGJOEKULL ICE CAP,64.67,-20.1,Ice cap
MEIGHEN ICE CAP,79.95,-99.13,Ice cap
MELVILLE SOUTH ICE CAP,75.4,-115.0,Ice cap
MIDTRE FOLGEFONNA,60.15,6.48,Ice cap
MT DIXON,-53.0,73.3,Ice cap
MT OLSEN,-53.02,73.35,Ice cap
N ELLESMERE ICE CAP,82.0,-76.0,Ice cap
NO.003.14.03.17,39.23,73.58,Ice cap
NO.104,79.37,95.65,Ice cap
NORDRE FOLGEFON,60.2,6.45,Ice cap
PENNY ICE CAP,67.3,-66.1,Ice cap
QAPIARFIUP SER.,65.6,-52.13,Ice cap
QUELCCAYA,-13.93,-70.82,Ice cap
RIUKOJIETNA,68.08,18.08,Ice cap
SOUTH ICE CAP,75.42,-115.02,Ice cap
SPOERTEGGBREEN,61.61,7.46,Ice cap
STORSKAVLEN ICE CAP,77.89,22.3,Ice cap
THRANDARJOEKULL,64.7,-14.88,Ice cap
UNNAMED CD505,81.95,-64.47,Ice cap
VEGAFONNA ICE CAP,79.46,21.2,Ice cap
VESTFONNA ICE CAP,79.96,20.0,Ice cap
VODOPADNIY (NO.125),50.1,87.7,Ice cap
WARD H. I. RISE,83.12,-74.17,Ice cap
WESTERN VATNAJOEKULL ICE CAP,64.4,-17.6,Ice cap
ABANO,42.7,44.53,Valley glacier
ABAY,43.09,77.09,Valley glacier
ABRAMOV,39.62,71.56,Valley glacier
ADAMS,-60.709999999999994,167.235,Valley glacier
ADI KAILASH,30.33,80.63,Valley glacier
AGUILLES DE TRELATETE MER.,45.78,6.8,Valley glacier
AKBAYTAL,38.45,73.55,Valley glacier
AKSU,42.03,80.0,Valley glacier
AKSU VOSTOCHNIY,42.85,77.1,Valley glacier
AKSU ZAPADNIY,42.85,77.08,Valley glacier
ALAMKOUH,36.39,50.97,Valley glacier
ALDEGONDABREEN,77.97,14.09,Valley glacier
ALERCE,-41.17,-71.82,Valley glacier
ALEXANDER,57.1,-130.82,Valley glacier
ALIBEKSKIY,43.28,41.53,Valley glacier
ALING,35.47,76.22,Valley glacier
ALMER/SALISBURY,-43.47,170.22,Valley glacier
ALPEINER F.,47.05,11.13,Valley glacier
ALPETLI(KANDER),46.48,7.8,Valley glacier
ALSEK,59.22,-138.0,Valley glacier
ALTA (VEDRETTA) / HOHENF.,46.45,10.68,Valley glacier
ALTO DEL PLOMO,-32.98,-70.0,Valley glacier
AMA DABLAM,27.88,86.88,Valley glacier
AMPHU LAPTSE,27.88,86.94,Valley glacier
ANTONIABREEN,77.48,14.3,Valley glacier
ARGENTIERE,45.95,6.98,Valley glacier
AROLLA (BAS),45.98,7.5,Valley glacier
ARTESONRAJU,-8.95,-77.62,Valley glacier
ASHBURTON,-43.37,170.97,Valley glacier
AURONA,46.26,8.09,Valley glacier
AUSTRE BROEGGERBREEN,78.88,11.83,Valley glacier
AUSTRE LOVENBREEN,78.87,12.15,Valley glacier
AYLAMA,42.03,80.0,Valley glacier
AYSBERGOV,45.25,80.82,Valley glacier
AYUTOR-2,42.08,70.5,Valley glacier
AZUFRE,-35.29,-70.55,Valley glacier
BAEGISARJOEKULL,65.59,-18.37,Valley glacier
BAKCHIGIR,37.62,72.73,Valley glacier
BALDWIN,58.93,-136.28,Valley glacier
BALFOUR,-43.55,170.12,Valley glacier
BALTIMORE,61.3,-147.77,Valley glacier
BALTORO,35.75,76.33,Valley glacier
BARBADORSO DI DENTRO / BAERENBARTF. INNERER,46.8,10.71,Valley glacier
BARKRAK SREDNIY,42.12,70.99,Valley glacier
BARPU,36.12,74.8,Valley glacier
BARROSO,-33.45,-69.48,Valley glacier
BARRY,61.17,-148.1,Valley glacier
BARTLETT,60.62,-147.7,Valley glacier
BARTLEY,-77.52,162.23,Valley glacier
BASSA DELL' ORTLES / ORTLERF. NIEDERER,46.5,10.51,Valley glacier
BATURA,36.57,74.58,Valley glacier
BATYRBAI,39.08,67.58,Valley glacier
BAZHIN,35.2,74.68,Valley glacier
BEAS KUND,32.34,77.07,Valley glacier
BELEULI,39.08,72.77,Valley glacier
BELVEDERE (MACUGNAGA),45.94,7.91,Valley glacier
BERENDON,56.25,-130.08,Valley glacier
BESSANESE,45.3,7.12,Valley glacier
BETSELI,62.17,-144.03,Valley glacier
BEZENGI,43.04,43.06,Valley glacier
BEZSONOV,44.89,79.48,Valley glacier
BEZYMYANNYY,42.03,80.0,Valley glacier
BHAGIRATHI KHARAK,30.78,79.3,Valley glacier
BIAFO GYANG,35.92,75.72,Valley glacier
BIFERTEN,46.82,8.95,Valley glacier
BIONNASSAY,45.84,6.81,Valley glacier
BLACK RAPIDS,63.48,-146.5,Valley glacier
BLANC,44.94,6.38,Valley glacier
BLAUEIS,47.57,12.86,Valley glacier
BLUE GLACIER,47.82,-123.68,Valley glacier
BOCCARECCIO,46.3,8.2,Valley glacier
BOGATYR,43.05,77.27,Valley glacier
BOLSHOY BERELSKIY,49.76,86.63,Valley glacier
BOLSHOY MAASHEY,50.12,87.58,Valley glacier
BORDU,42.03,80.0,Valley glacier
BOREBREEN,78.44,13.9,Valley glacier
BOSSONS,45.87,6.86,Valley glacier
BOULDER,48.77,-121.79,Valley glacier
BOUNDARY,52.2,-117.2,Valley glacier
BOVEYRE,45.97,7.25,Valley glacier
BRENEY,45.97,7.42,Valley glacier
BRENVA,45.83,6.9,Valley glacier
BRILLIANT,61.12,-147.45,Valley glacier
BROUILLARD,45.8,6.87,Valley glacier
BRUNEGG,46.15,7.7,Valley glacier
BRYN MAWR,61.23,-147.82,Valley glacier
BUALTAR,36.12,74.8,Valley glacier
BURTON,-43.45,170.32,Valley glacier
BUZ-CHUBEK,38.83,73.62,Valley glacier
CAMISA,-33.46,-69.5,Valley glacier
CANON HISPANO,-33.47,-69.5,Valley glacier
CARBON,46.93,-121.78,Valley glacier
CARDONNE OR. (PIAZZI CENTR.),46.42,10.32,Valley glacier
CARRIE,47.88,-123.63,Valley glacier
CARSTENSZ,-4.1,137.17,Valley glacier
CASCADE,61.15,-148.18,Valley glacier
CASSANDRA OR.,46.26,9.75,Valley glacier
CASTANO OVERO,-41.18,-71.83,Valley glacier
CASTELLI OCC.,46.45,10.53,Valley glacier
CASTLE CREEK,53.03,-120.45,Valley glacier
CASTORE,45.91,7.79,Valley glacier
CATARACT,60.03,-148.42,Valley glacier
CEDEC,46.44,10.6,Valley glacier
CESAR,-0.13,37.3,Valley glacier
CEVEDALE FORCOLA / FUERKELEF.,46.45,10.65,Valley glacier
CEVEDALE PRINCIPALE / ZUFALLF.,46.45,10.62,Valley glacier
CHACHI,42.7,44.55,Valley glacier
CHAKYDZHILGA,38.8,72.75,Valley glacier
CHALAATI,43.13,42.7,Valley glacier
CHANGMEKHANGPU,27.95,88.68,Valley glacier
CHANGRI NUP / SHAR,27.98,86.81,Valley glacier
CHARPENTIER,58.67,-136.58,Valley glacier
CHEILLON,46.0,7.42,Valley glacier
CHETASLINA,61.95,-144.28,Valley glacier
CHHOTA SHIGRI,32.23,77.51,Valley glacier
CHIANTAR,36.77,73.68,Valley glacier
CHILDS,60.68,-144.92,Valley glacier
CHIPA,30.18,80.49,Valley glacier
CHOGO LUNGMA,36.0,75.0,Valley glacier
CHOMJAKOV,76.95,16.43,Valley glacier
CHONG-TUR PRAVIY,42.3,73.3,Valley glacier
CHUNGPAR-TASH.,35.23,74.72,Valley glacier
CLAREMONT NORTH,60.53,-148.68,Valley glacier
CLAREMONT WEST,60.52,-148.7,Valley glacier
CLASSEN,-43.5,170.42,Valley glacier
CLENDENNING,50.42,-123.9,Valley glacier
COE,45.39,-121.69,Valley glacier
COL DELLA MARE I,46.42,10.6,Valley glacier
COLIN CAMPBELL,-43.32,170.72,Valley glacier
COLUMBIA (627),61.3,-146.88,Valley glacier
COOK,-54.48,-36.2,Valley glacier
CORBASSIERE,45.98,7.3,Valley glacier
CORNELIUSSENBREEN,66.0,14.37,Valley glacier
COWLITZ,46.82,-121.7,Valley glacier
COXE,61.13,-148.08,Valley glacier
CRILLON,58.63,-137.25,Valley glacier
CRUSOE GLACIER,79.46,-91.15,Valley glacier
CUMBERLAND,51.2,-124.4,Valley glacier
DADINA,62.03,-144.33,Valley glacier
DAGONGBA,29.58,101.87,Valley glacier
DART,-44.45,168.6,Valley glacier
DARWIN,-0.15,37.3,Valley glacier
DAVIDOV,42.03,80.0,Valley glacier
DE LOS TRES,-49.33,-73.0,Valley glacier
DESOLATION,58.78,-137.15,Valley glacier
DEVDORAKI,42.71,44.52,Valley glacier
DIDAL,38.2,72.84,Valley glacier
DIKHADANG (NO.314),39.37,70.12,Valley glacier
DJANKUAT,43.2,42.77,Valley glacier
DOLONATA,42.83,77.05,Valley glacier
DOSEGU,46.37,10.54,Valley glacier
DOUGLAS (KAR.),-43.68,170.0,Valley glacier
DRUMSTICK,62.13,-144.1,Valley glacier
DUGOV,42.03,80.0,Valley glacier
DUNAGIRI,30.55,79.9,Valley glacier
DUSAKASAY,38.9,72.55,Valley glacier
DUWO,27.88,86.85,Valley glacier
DZHAMBUL,43.08,77.23,Valley glacier
DZHAYLYAUKUMSAY,38.8,72.57,Valley glacier
DZHELO,50.12,88.3,Valley glacier
EAST FORK,63.44,-146.61,Valley glacier
EASTON,48.75,-121.82,Valley glacier
EEL,47.73,-123.33,Valley glacier
EKLUTNA,61.25,-148.97,Valley glacier
ELIOT,45.38,-121.66,Valley glacier
ELKIN,51.37,-123.85,Valley glacier
EMMONS,46.85,-121.72,Valley glacier
ERIKBREEN,79.61,12.5,Valley glacier
EVANS,-43.2,170.92,Valley glacier
FAIRWEATHER,58.84,-137.64,Valley glacier
FALLING,60.48,-148.53,Valley glacier
FELLARIA OCC.,46.35,9.92,Valley glacier
FERPECLE,46.02,7.58,Valley glacier
FIESCHER,46.5,8.15,Valley glacier
FINDELEN,46.0,7.87,Valley glacier
FINSTERWALDERBREEN,77.48,15.25,Valley glacier
FITZGERALD (KAR),-43.72,170.02,Valley glacier
FORCA,45.96,7.66,Valley glacier
FORGOTTEN COL,-44.44,168.36,Valley glacier
FORNI,46.4,10.58,Valley glacier
FORNO,46.3,9.7,Valley glacier
FOX,-43.53,170.15,Valley glacier
FRANZ JOSEF,-43.5,170.22,Valley glacier
FRESHFIELD,4.095000000000002,27.21,Valley glacier
FREYA,74.38,-20.82,Valley glacier
FRIDTJOVBREEN,77.83,14.43,Valley glacier
FRIENDLY,51.05,-123.85,Valley glacier
FYODOROVICH,45.03,80.07,Valley glacier
GAGARIN,45.07,80.08,Valley glacier
GAISSBERG F.,46.83,11.07,Valley glacier
GAKONA,63.25,-145.2,Valley glacier
GARMO,38.2,72.84,Valley glacier
GARWOOD,-78.03,163.92,Valley glacier
GAULI,46.62,8.18,Valley glacier
GEBROULAZ,45.29,6.62,Valley glacier
GEIKIE,58.6,-136.62,Valley glacier
GEOGRAPHICHESKOGO OBSHCHESTVA,38.67,72.22,Valley glacier
GEPATSCH F.,46.85,10.77,Valley glacier
GERASIMOV,45.08,80.32,Valley glacier
GERGETI,42.67,44.5,Valley glacier
GHULKIN,36.45,74.58,Valley glacier
GILMAN,58.82,-137.07,Valley glacier
GLACIER NO. 30,32.26,77.33,Valley glacier
GLACIER NO. 354 (AKSHIYRAK),41.79,78.15,Valley glacier
