Handedness,Extraversion,Hours of sleep,Pant leg,Sleep position
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,4,8.0,I don't know,On your right side
Right-handed,6,6.0,Right leg in first,On your back
Right-handed,7,7.0,Left leg in first,On your back
Right-handed,5,8.0,Right leg in first,On your right side
Right-handed,3,8.0,Left leg in first,On your right side
Right-handed,4,7.0,Right leg in first,On your stomach
Right-handed,7,7.0,Left leg in first,On your left side
Right-handed,8,7.0,I don't know,On your right side
Right-handed,3,6.0,I don't know,On your back
Right-handed,4,8.0,Right leg in first,On your stomach
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your left side
Right-handed,6,8.0,Right leg in first,On your left side
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,9,8.0,Left leg in first,On your right side
Right-handed,7,7.0,Left leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,2,8.0,Right leg in first,On your right side
Right-handed,3,6.0,Left leg in first,On your left side
Left-handed,9,7.0,Right leg in first,On your right side
Right-handed,9,7.5,Right leg in first,On your back
Right-handed,6,6.0,Right leg in first,On your back
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,3,7.0,Left leg in first,On your left side
Left-handed,2,8.0,I don't know,On your right side
Right-handed,10,6.0,I don't know,On your right side
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your left side
Left-handed,7,6.0,Left leg in first,On your back
Right-handed,8,8.5,I don't know,On your left side
Right-handed,2,7.0,Left leg in first,On your left side
Right-handed,9,8.0,Right leg in first,On your left side
Right-handed,6,7.0,I don't know,On your back
Left-handed,5,7.0,Left leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,7,6.0,Right leg in first,On your right side
Left-handed,8,7.0,Left leg in first,On your back
Right-handed,1,6.0,Right leg in first,On your right side
Right-handed,5,8.0,Left leg in first,On your stomach
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,8,6.0,Right leg in first,On your right side
Right-handed,6,7.0,Left leg in first,On your right side
Right-handed,9,7.0,Left leg in first,On your right side
Right-handed,7,6.0,Right leg in first,On your right side
Right-handed,7,7.0,I don't know,On your stomach
Right-handed,7,8.0,Right leg in first,On your left side
Left-handed,7,8.0,Left leg in first,On your right side
Right-handed,4,8.0,I don't know,On your left side
Right-handed,8,8.0,Right leg in first,On your back
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your stomach
Right-handed,8,8.0,Left leg in first,On your stomach
Right-handed,2,6.0,Left leg in first,On your stomach
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,8,7.0,I don't know,On your right side
Right-handed,6,8.0,I don't know,On your stomach
Right-handed,3,7.5,Left leg in first,On your left side
Right-handed,2,8.0,Left leg in first,On your stomach
Right-handed,3,6.0,Right leg in first,On your right side
Right-handed,6,6.0,Right leg in first,On your right side
Right-handed,3,7.0,Left leg in first,On your back
Right-handed,6,7.0,Left leg in first,On your back
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,4,7.0,I don't know,On your stomach
Right-handed,9,8.0,Right leg in first,On your stomach
Right-handed,5,8.0,Right leg in first,On your right side
Right-handed,3,7.0,Right leg in first,On your right side
Right-handed,4,4.0,Right leg in first,On your stomach
Right-handed,5,8.0,I don't know,On your back
Right-handed,5,7.0,I don't know,On your left side
Left-handed,10,7.0,Left leg in first,On your left side
Right-handed,4,7.0,Right leg in first,On your back
Right-handed,4,7.5,Right leg in first,On your stomach
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,5,5.0,Right leg in first,On your right side
Right-handed,9,7.0,Right leg in first,On your stomach
Right-handed,10,6.5,Left leg in first,On your left side
Right-handed,2,7.0,Left leg in first,On your back
Right-handed,8,8.0,Right leg in first,On your left side
Right-handed,9,8.0,Right leg in first,On your back
Left-handed,7,8.0,Left leg in first,On your back
Right-handed,9,7.0,Right leg in first,On your stomach
Right-handed,3,7.0,Right leg in first,On your back
Right-handed,7,7.0,Left leg in first,On your left side
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,6,6.0,I don't know,On your left side
Right-handed,4,6.0,Left leg in first,On your left side
Right-handed,5,6.0,Right leg in first,On your stomach
Right-handed,6,7.0,I don't know,On your right side
Right-handed,6,7.0,I don't know,On your right side
Left-handed,3,6.0,Right leg in first,On your left side
Right-handed,10,8.0,Left leg in first,On your left side
Right-handed,8,8.0,Right leg in first,On your left side
Right-handed,4,6.5,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,8,6.0,I don't know,On your left side
Right-handed,9,5.0,I don't know,On your back
Right-handed,6,7.0,I don't know,On your right side
Right-handed,8,7.0,Left leg in first,On your right side
Right-handed,8,8.5,Right leg in first,On your back
Right-handed,5,8.0,Left leg in first,On your right side
Right-handed,7,4.0,Left leg in first,On your left side
Right-handed,5,8.0,Right leg in first,On your left side
Right-handed,4,5.0,I don't know,On your stomach
Right-handed,4,7.0,Right leg in first,On your right side
Right-handed,5,8.0,Right leg in first,On your right side
Right-handed,6,9.0,Right leg in first,On your left side
Right-handed,7,7.0,Left leg in first,On your right side
Right-handed,4,7.0,Left leg in first,On your right side
Right-handed,5,8.0,I don't know,On your stomach
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your right side
Both/Mixed,2,6.0,Right leg in first,On your stomach
Right-handed,5,7.0,Left leg in first,On your right side
Right-handed,4,7.0,Right leg in first,On your left side
Left-handed,4,8.0,Right leg in first,On your back
Right-handed,7,8.0,I don't know,On your back
Right-handed,5,8.0,Left leg in first,On your back
Left-handed,8,8.0,Right leg in first,On your stomach
Right-handed,3,7.0,Left leg in first,On your right side
Right-handed,6,7.0,Left leg in first,On your left side
Right-handed,5,8.0,Left leg in first,On your stomach
Right-handed,2,7.0,Right leg in first,On your back
Right-handed,3,8.0,Left leg in first,On your left side
Right-handed,5,8.0,Left leg in first,On your stomach
Right-handed,8,7.0,I don't know,On your stomach
Right-handed,7,6.0,Right leg in first,On your back
Right-handed,7,6.0,Right leg in first,On your left side
Right-handed,8,5.0,Right leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,6,6.0,Right leg in first,On your left side
Right-handed,4,7.0,Right leg in first,On your left side
Right-handed,6,7.0,Left leg in first,On your stomach
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,6,6.0,Right leg in first,On your right side
Right-handed,7,6.0,I don't know,On your left side
Right-handed,5,7.5,Right leg in first,On your stomach
Right-handed,9,7.0,Right leg in first,On your back
Right-handed,8,8.0,Left leg in first,On your right side
Right-handed,2,7.0,Left leg in first,On your right side
Right-handed,5,7.5,Right leg in first,On your right side
Right-handed,7,9.0,Left leg in first,On your left side
Right-handed,6,8.0,Left leg in first,On your left side
Left-handed,5,6.0,Right leg in first,On your back
Right-handed,7,6.0,Right leg in first,On your right side
Left-handed,3,6.0,Right leg in first,On your right side
Left-handed,6,7.0,I don't know,On your stomach
Right-handed,3,7.0,Left leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your left side
Right-handed,3,6.0,Left leg in first,On your back
Right-handed,7,5.0,Right leg in first,On your stomach
Right-handed,5,6.0,Left leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,6,7.0,Left leg in first,On your right side
Left-handed,5,7.0,Right leg in first,On your back
Right-handed,5,5.0,I don't know,On your back
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,8,8.0,Right leg in first,On your right side
Right-handed,4,8.0,Left leg in first,On your right side
Right-handed,5,5.0,Left leg in first,On your right side
Right-handed,3,9.0,Left leg in first,On your back
Right-handed,5,7.0,Left leg in first,On your left side
Right-handed,8,8.0,Left leg in first,On your left side
Right-handed,5,8.0,Right leg in first,On your left side
Right-handed,6,5.0,Right leg in first,On your stomach
Left-handed,6,5.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your left side
Right-handed,7,7.0,I don't know,On your right side
Right-handed,8,6.0,Left leg in first,On your back
Right-handed,3,7.0,Right leg in first,On your stomach
Right-handed,8,6.0,Left leg in first,On your left side
Right-handed,6,7.0,Left leg in first,On your right side
Right-handed,6,7.0,I don't know,On your stomach
Left-handed,3,8.0,Right leg in first,On your right side
Right-handed,4,7.0,I don't know,On your back
Right-handed,4,7.0,Right leg in first,On your right side
Right-handed,5,7.0,Left leg in first,On your right side
Right-handed,4,8.0,Right leg in first,On your back
Right-handed,6,8.0,Left leg in first,On your right side
Right-handed,3,7.0,I don't know,On your right side
Right-handed,6,6.0,Left leg in first,On your left side
Right-handed,9,7.0,Left leg in first,On your back
Left-handed,4,7.0,Left leg in first,On your back
Right-handed,6,7.0,Left leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your left side
Right-handed,7,7.0,I don't know,On your stomach
Right-handed,3,6.0,Left leg in first,On your back
Right-handed,7,8.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your stomach
Left-handed,8,7.0,Left leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,4,9.0,Left leg in first,On your right side
Right-handed,7,8.0,Left leg in first,On your right side
Right-handed,6,6.0,Right leg in first,On your stomach
Right-handed,8,6.0,Left leg in first,On your back
Right-handed,1,8.0,Left leg in first,On your left side
Right-handed,6,8.0,Left leg in first,On your stomach
Right-handed,7,8.0,Right leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your left side
Right-handed,3,6.0,Right leg in first,On your back
Right-handed,3,7.0,Left leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,6,7.0,Right leg in first,On your stomach
Right-handed,6,5.0,Right leg in first,On your right side
Right-handed,5,7.0,Left leg in first,On your left side
Right-handed,10,7.0,Left leg in first,On your back
Right-handed,5,6.0,Right leg in first,On your back
Right-handed,6,7.0,I don't know,On your left side
Right-handed,8,5.0,Left leg in first,On your stomach
Right-handed,9,7.0,Left leg in first,On your right side
Right-handed,5,6.0,I don't know,On your back
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your back
Right-handed,4,6.0,Right leg in first,On your right side
Right-handed,4,7.0,Left leg in first,On your right side
Right-handed,3,7.0,Right leg in first,On your right side
Right-handed,4,7.5,Left leg in first,On your left side
Right-handed,5,8.0,I don't know,On your left side
Right-handed,7,7.0,I don't know,On your right side
Right-handed,4,7.0,Right leg in first,On your stomach
Right-handed,7,8.0,Right leg in first,On your right side
Right-handed,6,6.0,Right leg in first,On your stomach
Right-handed,6,8.5,Left leg in first,On your right side
Right-handed,7,8.0,Right leg in first,On your right side
Right-handed,9,6.0,Right leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,2,6.0,Right leg in first,On your stomach
Right-handed,7,7.0,Right leg in first,On your stomach
Right-handed,6,7.5,Left leg in first,On your stomach
Right-handed,4,8.0,Right leg in first,On your right side
Right-handed,8,8.0,I don't know,On your back
Right-handed,10,7.0,Right leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,6,8.0,Left leg in first,On your stomach
Right-handed,6,7.0,Right leg in first,On your left side
Right-handed,3,6.5,I don't know,On your back
Both/Mixed,6,7.0,I don't know,On your back
Right-handed,8,8.0,Right leg in first,On your stomach
Both/Mixed,3,6.0,Right leg in first,On your left side
Left-handed,3,7.5,Left leg in first,On your stomach
Right-handed,5,8.0,I don't know,On your right side
Right-handed,8,7.0,I don't know,On your left side
Right-handed,6,7.0,I don't know,On your stomach
Right-handed,7,6.0,Right leg in first,On your stomach
Right-handed,10,6.0,Right leg in first,On your right side
Right-handed,3,7.0,Right leg in first,On your stomach
Right-handed,4,7.0,Left leg in first,On your back
Right-handed,8,6.0,Right leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your back
Both/Mixed,5,7.0,Left leg in first,On your left side
Right-handed,5,6.0,Left leg in first,On your right side
Right-handed,5,8.0,Right leg in first,On your stomach
Left-handed,2,9.0,Left leg in first,On your stomach
Left-handed,6,7.0,Left leg in first,On your back
Right-handed,3,6.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,4,6.5,I don't know,On your back
Right-handed,4,8.0,Right leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your right side
Left-handed,8,6.0,Left leg in first,On your right side
Right-handed,3,8.0,Left leg in first,On your right side
Right-handed,7,6.0,Right leg in first,On your right side
Right-handed,3,8.0,Left leg in first,On your right side
Right-handed,3,8.0,Right leg in first,On your left side
Right-handed,6,7.0,Left leg in first,On your right side
Right-handed,5,7.5,Left leg in first,On your back
Right-handed,3,6.0,Left leg in first,On your back
Right-handed,3,6.0,I don't know,On your stomach
Left-handed,5,7.0,Right leg in first,On your right side
Left-handed,8,7.0,Right leg in first,On your stomach
Right-handed,4,7.0,Right leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,7,8.0,Right leg in first,On your right side
Right-handed,5,8.0,Right leg in first,On your stomach
Right-handed,6,8.0,Left leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,4,7.0,Right leg in first,On your back
Right-handed,4,7.0,Right leg in first,On your right side
Right-handed,4,7.0,Left leg in first,On your left side
Right-handed,6,9.0,Left leg in first,On your back
Right-handed,9,6.0,Right leg in first,On your right side
Right-handed,4,8.0,Right leg in first,On your back
Right-handed,4,8.0,Right leg in first,On your right side
Right-handed,5,7.0,Left leg in first,On your stomach
Right-handed,9,6.0,Right leg in first,On your back
Right-handed,7,9.0,Left leg in first,On your stomach
Right-handed,3,7.0,Right leg in first,On your left side
Right-handed,5,6.0,Right leg in first,On your right side
Right-handed,4,7.0,Right leg in first,On your stomach
Left-handed,4,8.0,Left leg in first,On your right side
Left-handed,5,6.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,4,7.0,Right leg in first,On your right side
Right-handed,8,6.0,Right leg in first,On your right side
Right-handed,7,8.0,Left leg in first,On your left side
Right-handed,8,7.5,Right leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your back
Left-handed,6,6.0,I don't know,On your back
Right-handed,9,8.0,Left leg in first,On your stomach
Right-handed,5,8.0,I don't know,On your back
Right-handed,3,8.0,Right leg in first,On your right side
Right-handed,8,8.0,Left leg in first,On your left side
Right-handed,3,7.0,Left leg in first,On your left side
Right-handed,4,7.5,Right leg in first,On your left side
Right-handed,5,8.0,I don't know,On your right side
Right-handed,4,7.0,Left leg in first,On your left side
Right-handed,9,6.0,Right leg in first,On your right side
Right-handed,5,9.0,Left leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,4,5.0,Left leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,8,8.0,Left leg in first,On your left side
Right-handed,7,8.0,Left leg in first,On your left side
Right-handed,2,7.0,Left leg in first,On your stomach
Right-handed,8,8.0,Right leg in first,On your right side
Right-handed,7,7.0,I don't know,On your right side
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,3,5.0,Right leg in first,On your left side
Right-handed,4,8.0,Left leg in first,On your stomach
Right-handed,4,8.0,Right leg in first,On your right side
Right-handed,5,8.0,Left leg in first,On your back
Left-handed,5,9.0,I don't know,On your right side
Right-handed,4,6.0,Left leg in first,On your left side
Right-handed,8,7.5,Right leg in first,On your right side
Right-handed,8,7.0,I don't know,On your left side
Right-handed,4,6.0,I don't know,On your right side
Right-handed,1,6.0,Left leg in first,On your left side
Right-handed,7,8.0,Right leg in first,On your right side
Right-handed,9,6.0,Right leg in first,On your left side
Left-handed,9,6.5,Left leg in first,On your stomach
Left-handed,3,8.0,Left leg in first,On your stomach
Right-handed,4,7.0,Left leg in first,On your right side
Right-handed,4,7.0,Left leg in first,On your right side
Right-handed,5,7.0,I don't know,On your stomach
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,4,7.5,I don't know,On your right side
Right-handed,9,6.0,Left leg in first,On your stomach
Right-handed,6,6.0,Right leg in first,On your right side
Right-handed,5,8.0,Right leg in first,On your left side
Right-handed,8,7.0,I don't know,On your left side
Left-handed,9,7.0,Right leg in first,On your right side
Right-handed,10,8.0,Right leg in first,On your right side
Right-handed,8,8.0,Right leg in first,On your right side
Right-handed,4,7.0,I don't know,On your back
Right-handed,7,8.0,Right leg in first,On your back
Left-handed,7,7.0,Left leg in first,On your back
Right-handed,6,8.0,Left leg in first,On your back
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,7,7.0,Left leg in first,On your right side
Right-handed,4,7.0,Left leg in first,On your right side
Left-handed,7,7.0,Right leg in first,On your stomach
Right-handed,8,7.0,I don't know,On your left side
Right-handed,6,8.0,Right leg in first,On your right side
Right-handed,4,8.5,I don't know,On your back
Right-handed,5,7.0,Left leg in first,On your right side
Right-handed,3,6.5,I don't know,On your right side
Right-handed,6,4.0,Right leg in first,On your right side
Right-handed,3,9.0,Left leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,5,7.0,Left leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,7,8.0,Left leg in first,On your right side
Right-handed,4,8.0,I don't know,On your back
Right-handed,6,7.0,I don't know,On your stomach
Right-handed,7,8.0,Left leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your left side
Right-handed,7,7.0,I don't know,On your left side
Right-handed,9,7.0,Right leg in first,On your stomach
Right-handed,6,6.0,Right leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your left side
Left-handed,5,6.0,Left leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,3,7.5,Left leg in first,On your back
Right-handed,7,8.0,Left leg in first,On your stomach
Right-handed,7,8.0,Left leg in first,On your left side
Right-handed,4,8.0,I don't know,On your stomach
Right-handed,3,7.0,Right leg in first,On your stomach
Right-handed,8,7.0,Right leg in first,On your back
Right-handed,10,5.0,Left leg in first,On your back
Right-handed,9,6.0,Right leg in first,On your right side
Left-handed,7,7.0,Left leg in first,On your stomach
Right-handed,8,8.0,Right leg in first,On your left side
Right-handed,3,7.0,Left leg in first,On your left side
Right-handed,3,6.0,Left leg in first,On your right side
Right-handed,5,7.0,I don't know,On your left side
Right-handed,5,7.0,Left leg in first,On your back
Right-handed,9,7.0,Left leg in first,On your back
Right-handed,3,6.5,Left leg in first,On your left side
Left-handed,6,7.0,Right leg in first,On your back
Right-handed,4,7.0,Left leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your right side
Left-handed,6,7.0,Right leg in first,On your right side
Right-handed,3,8.0,I don't know,On your back
Right-handed,8,7.0,I don't know,On your stomach
Right-handed,6,8.0,Right leg in first,On your back
Right-handed,6,8.0,Right leg in first,On your back
Right-handed,7,7.0,Right leg in first,On your right side
Right-handed,9,7.0,Left leg in first,On your left side
Right-handed,9,6.0,Right leg in first,On your right side
Right-handed,3,6.0,Right leg in first,On your right side
Right-handed,5,9.0,Right leg in first,On your left side
Right-handed,8,7.0,Left leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your stomach
Right-handed,3,7.0,I don't know,On your left side
Right-handed,8,7.0,Right leg in first,On your stomach
Right-handed,4,8.0,Right leg in first,On your back
Right-handed,9,6.0,I don't know,On your right side
Right-handed,3,7.0,I don't know,On your left side
Right-handed,4,5.5,Right leg in first,On your back
Right-handed,9,8.0,Left leg in first,On your left side
Right-handed,8,6.0,Left leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your stomach
Right-handed,6,7.0,Left leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your left side
Right-handed,5,6.0,Right leg in first,On your back
Right-handed,8,8.0,Right leg in first,On your back
Right-handed,3,8.0,Right leg in first,On your left side
Right-handed,5,7.0,Left leg in first,On your stomach
Right-handed,6,7.0,Right leg in first,On your stomach
Right-handed,6,7.0,Right leg in first,On your stomach
Right-handed,2,7.0,Left leg in first,On your left side
Right-handed,6,7.0,Right leg in first,On your right side
Right-handed,8,6.0,Left leg in first,On your right side
Right-handed,3,8.0,I don't know,On your stomach
Right-handed,9,6.0,Right leg in first,On your back
Right-handed,8,6.0,I don't know,On your right side
Right-handed,8,6.0,I don't know,On your left side
Right-handed,2,6.0,Left leg in first,On your right side
Right-handed,2,7.0,Right leg in first,On your stomach
Right-handed,8,6.0,Left leg in first,On your left side
Right-handed,4,7.0,Right leg in first,On your left side
Right-handed,3,8.0,Left leg in first,On your right side
Right-handed,4,4.0,Right leg in first,On your left side
Right-handed,8,7.0,Left leg in first,On your stomach
Right-handed,3,7.0,Left leg in first,On your left side
Right-handed,4,8.0,Right leg in first,On your right side
Right-handed,3,8.0,Right leg in first,On your stomach
Right-handed,9,8.0,Right leg in first,On your stomach
Both/Mixed,3,7.0,Left leg in first,On your right side
Right-handed,3,7.5,Left leg in first,On your right side
Right-handed,3,8.0,Right leg in first,On your right side
Right-handed,5,6.0,Right leg in first,On your left side
Right-handed,4,9.0,Right leg in first,On your left side
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,5,7.0,I don't know,On your right side
Right-handed,4,8.0,Right leg in first,On your left side
Right-handed,3,7.0,Left leg in first,On your right side
Right-handed,7,7.0,Left leg in first,On your left side
Right-handed,7,7.5,Right leg in first,On your left side
Right-handed,4,9.0,Right leg in first,On your stomach
Right-handed,7,6.0,Left leg in first,On your left side
Right-handed,7,8.0,Left leg in first,On your back
Right-handed,7,9.0,Left leg in first,On your right side
Right-handed,4,6.0,Right leg in first,On your right side
Both/Mixed,7,7.0,Right leg in first,On your stomach
Right-handed,9,8.0,Right leg in first,On your back
Right-handed,2,6.0,Right leg in first,On your stomach
Right-handed,4,6.0,Right leg in first,On your back
Right-handed,6,7.0,I don't know,On your back
Right-handed,3,6.0,Right leg in first,On your left side
Right-handed,8,8.0,Left leg in first,On your stomach
Right-handed,4,8.0,Right leg in first,On your stomach
Right-handed,6,6.0,I don't know,On your left side
Right-handed,9,4.0,Right leg in first,On your left side
Right-handed,3,8.0,Right leg in first,On your right side
Right-handed,3,6.0,Right leg in first,On your left side
Right-handed,2,7.0,Left leg in first,On your left side
Right-handed,4,6.5,Left leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your right side
Right-handed,4,7.0,Right leg in first,On your back
Right-handed,5,7.0,I don't know,On your right side
Right-handed,6,7.5,Right leg in first,On your left side
Right-handed,7,6.0,Right leg in first,On your back
Right-handed,3,7.0,Right leg in first,On your right side
Right-handed,10,7.0,Right leg in first,On your right side
Right-handed,8,7.0,Left leg in first,On your back
Left-handed,8,8.0,Right leg in first,On your left side
Right-handed,7,8.0,Left leg in first,On your right side
Right-handed,7,7.0,Left leg in first,On your stomach
Right-handed,4,7.0,I don't know,On your right side
Right-handed,7,5.0,Left leg in first,On your left side
Right-handed,3,8.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,10,7.5,Right leg in first,On your right side
Right-handed,7,7.0,Right leg in first,On your back
Right-handed,5,9.0,I don't know,On your left side
Left-handed,6,6.0,Left leg in first,On your back
Right-handed,1,8.0,Left leg in first,On your right side
Right-handed,5,7.0,I don't know,On your back
Right-handed,7,7.0,Left leg in first,On your right side
Right-handed,6,8.0,Right leg in first,On your right side
Right-handed,8,8.0,I don't know,On your right side
Right-handed,7,7.5,Right leg in first,On your right side
Right-handed,6,8.0,Right leg in first,On your right side
Left-handed,8,6.0,Left leg in first,On your left side
Right-handed,7,6.0,Right leg in first,On your right side
Right-handed,4,7.5,Right leg in first,On your right side
Right-handed,6,7.0,Right leg in first,On your left side
Right-handed,6,7.0,Left leg in first,On your stomach
Right-handed,8,9.0,Right leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your left side
Right-handed,5,7.0,Right leg in first,On your back
Right-handed,8,7.0,Right leg in first,On your right side
Left-handed,7,9.0,Left leg in first,On your right side
Right-handed,10,6.0,Right leg in first,On your back
Right-handed,2,7.0,Right leg in first,On your back
Right-handed,9,7.0,Right leg in first,On your left side
Right-handed,8,6.0,Left leg in first,On your right side
Right-handed,3,7.0,Left leg in first,On your back
Right-handed,3,6.0,Right leg in first,On your left side
Right-handed,7,8.0,Left leg in first,On your left side
Right-handed,7,5.0,Left leg in first,On your back
Right-handed,5,7.5,Left leg in first,On your right side
Right-handed,8,7.0,Right leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your stomach
Right-handed,7,6.0,Right leg in first,On your left side
Right-handed,7,6.0,Right leg in first,On your right side
Right-handed,8,7.0,Left leg in first,On your right side
Right-handed,5,7.0,Right leg in first,On your right side
Both/Mixed,4,7.0,Left leg in first,On your left side
Right-handed,8,7.0,Right leg in first,On your left side
Left-handed,7,9.0,Left leg in first,On your left side
Right-handed,7,7.0,Right leg in first,On your back
Left-handed,7,7.0,Right leg in first,On your stomach
Right-handed,5,7.0,Left leg in first,On your back
Right-handed,9,8.0,Right leg in first,On your back
Right-handed,6,7.0,Right leg in first,On your stomach
Right-handed,3,7.0,Left leg in first,On your left side
Right-handed,7,8.5,Left leg in first,On your stomach
Right-handed,4,6.0,Right leg in first,On your left side
