Year,Extraversion,Number of Texters,Hours of Sleep
First,7,10,8
First,3,7,7
First,4,5,8
First,6,10,7
First,6,1,7
First,8,6,7
First,5,3,7
First,6,8,9
First,8,10,8
First,7,17,7.5
First,2,5,8
First,5,2,6
First,7,7,7
First,4,2,7
First,8,20,7
First,5,10,6
First,4,5,8
First,8,4,7
First,8,10,7
First,8,6,7
First,5,10,8
First,7,7,8
First,7,5,8
First,8,8,7
First,9,10,8
First,2,6,8
First,8,13,8
First,2,1,7
First,3,5,6.5
First,8,5,7
First,3,2,9
First,3,2,6
First,7,9,7
First,8,45,5
First,4,5,7
First,6,6,6
First,5,10,8
First,6,10,6
First,8,7,8
First,7,15,7
First,5,4,9
First,4,5,7
First,7,10,6
First,8,5,8
First,3,3,7
First,7,5,8
First,6,8,6
First,8,4,8
First,5,5,7
First,4,9,7
First,4,5,7
First,7,7,7.5
First,7,12,7
First,2,1,8
First,5,3,8
First,10,15,5
First,3,7,7
First,5,2,8
First,2,2,7
First,5,10,9
First,4,3,7
First,7,15,7
First,7,12,8
First,7,13,7
First,7,12,6
First,6,13,7
First,4,4,8
First,4,5,8
First,6,10,7
First,7,5,8
First,7,10,7
First,8,10,8
First,9,4,6
First,8,35,7
First,4,4,6
First,4,8,6
First,7,15,9
First,9,3,6.5
First,6,4,8
First,3,3,8
First,3,3,7.5
First,5,5,7
First,5,5,9
First,9,7,6
First,6,15,6
First,10,7,8
First,7,10,6
First,8,14,7
First,7,5,7
First,9,15,6
First,6,10,5
First,7,6,8
First,4,5,7
First,4,6,7
First,8,5,6
First,7,18,6
First,6,5,7
First,6,3,7
First,8,10,9
First,8,17,7
First,8,5,8
First,8,7,7
First,8,10,7
First,7,5,8
First,4,10,9
First,8,10,8
First,5,2,8
First,6,2,7
First,6,7,9
First,5,30,7.5
First,6,10,7
First,7,40,7
First,6,4,8
First,6,7,8
First,6,6,7
First,6,4,8
First,8,3,8
First,3,10,7
First,5,20,7.5
First,7,15,8
First,3,7,7
First,7,5,7
First,2,5,7
First,6,30,6
First,7,30,7
First,10,140,7.5
First,10,20,7
First,4,4,7
First,6,5,7
First,4,0,6
First,8,7,6
First,5,3,7
First,4,10,7
First,6,7,8
First,6,15,6
First,6,6,7
First,4,5,6
First,6,6,7
First,7,3,7
First,6,9,6
First,7,10,8
First,5,7,9
First,8,10,6
First,8,4,5
First,5,4,8
First,7,3,6
First,5,10,7
First,6,6,8.5
First,9,6,8
First,4,8,6
First,7,5,7
First,4,4,7
First,8,3,8
First,6,6,7
First,5,4,6
First,6,5,8
First,3,4,7
First,3,3,7
First,8,15,6
First,5,6,8
First,4,5,6
First,7,8,7
First,7,4,6
First,6,3,7
First,8,40,6
First,9,10,7
First,6,4,7
First,3,4,7
First,7,5,6
First,7,6,7
First,3,2,7
First,6,5,7
First,8,5,7
First,4,8,7
First,4,5,8
First,10,10,7
First,4,8,7
First,8,7,5
First,4,6,7
First,6,7,6
First,9,7,6
First,7,11,6
First,8,7,7
First,8,4,9
First,8,10,6
First,8,6,6
First,7,10,6
First,8,8,8
First,4,10,7
First,8,10,7
First,8,12,7
First,7,10,7
First,10,20,7
First,7,4,7
First,7,9,7
First,3,10,7.5
First,6,10,7
First,9,7,7
First,7,10,7
First,10,5,8
First,5,25,7
First,3,17,7
First,8,8,7
First,3,10,7
First,9,10,7
First,6,5,7
First,6,1,5
First,3,3,6
First,3,9,7
First,4,10,7
First,8,20,6
First,8,10,7
First,6,10,6
First,7,75,6
First,6,12,7
First,8,8,7
First,10,30,6
First,3,5,7
First,8,5,8
First,6,10,1
First,8,7,7
First,7,10,7
First,4,5,7
First,7,8,7
First,3,1,6
First,7,4,7
First,7,5,6
First,6,4,6
First,5,5,7.5
First,6,3,7
First,9,4,6
First,8,10,7
First,7,25,7
First,3,6,7
First,3,7,7
First,5,5,7
First,6,5,7
First,5,6,7
First,8,10,8
First,7,8,7
First,4,5,7
First,7,10,6
First,3,10,8
First,6,10,7
First,8,20,7
First,6,12,7
First,5,2,7
First,6,10,7
First,6,3,8
First,7,1,8
First,9,15,8
First,7,10,7
First,5,5,7
First,5,4,7
First,6,5,7
First,4,3,7
First,4,10,5
First,2,10,8
First,3,2,6
First,7,15,8
First,7,5,7
First,7,10,7
First,3,3,7
First,9,15,6
First,7,15,8
First,5,6,8
First,7,10,7
First,6,10,7
First,4,23,7.5
First,7,7,7
First,4,7,7
First,1,4,6
First,8,6,6
First,7,8,8
First,8,20,8
First,7,7,7
First,3,3,6
First,7,8,6
First,4,15,7
First,7,5,7
First,6,5,7
First,5,2,6
First,3,5,8
First,5,10,8
First,8,13,6
First,1,4,8
First,6,25,7
First,7,20,5
First,4,5,6
First,6,10,7
First,7,1,7
First,3,1,7
First,7,15,7
First,5,5,7
First,5,4,7
First,7,5,9
First,3,3,6
First,7,8,8
First,4,8,8
First,6,1,7
First,7,10,7
First,7,5,7
First,5,6,7
First,8,20,8
First,7,15,6
First,4,5,6
First,10,15,6
First,7,10,8
First,8,7,6
First,4,3,6
First,8,3,7
First,7,2,6
First,6,6,7
First,7,5,6
First,2,10,7
First,7,15,5
First,4,6,6.5
First,5,10,7
First,5,20,6
Fourth or above,8,3,7
Fourth or above,9,3,7
Fourth or above,8,15,7
Fourth or above,4,5,7
Fourth or above,5,2,8
Fourth or above,10,5,6.5
Fourth or above,7,10,8
Fourth or above,3,2,9
Fourth or above,7,8,7
Fourth or above,4,1,8
Fourth or above,7,5,7
Fourth or above,2,2,8
Fourth or above,6,5,8
Fourth or above,5,3,7.5
Fourth or above,3,5,7
Fourth or above,9,8,6
Fourth or above,4,2,4
Fourth or above,5,2,8
Fourth or above,2,0,8
Fourth or above,5,3,6
Fourth or above,5,5,6
Fourth or above,4,2,6
Fourth or above,6,3,6
Fourth or above,2,1,8
Fourth or above,3,4,6
Fourth or above,5,5,7
Fourth or above,2,0,8
Fourth or above,4,5,7.5
Fourth or above,6,3,7
Fourth or above,6,2,8
Fourth or above,6,15,8
Fourth or above,5,5,8
Fourth or above,7,8,7.5
Fourth or above,3,10,7.5
Fourth or above,4,3,7
Fourth or above,2,5,6
Fourth or above,9,8,6
Fourth or above,7,4,7
Fourth or above,8,15,6
Fourth or above,7,6,7
Fourth or above,7,3,7
Fourth or above,5,4,7
Fourth or above,7,5,9
Fourth or above,5,20,8
Fourth or above,4,8,7
Fourth or above,7,4,6
Fourth or above,7,15,6
Fourth or above,7,5,7
Fourth or above,7,10,6
Fourth or above,4,5,7
Fourth or above,5,2,7
Fourth or above,10,6,7
Fourth or above,8,10,7
Fourth or above,3,8,8
Fourth or above,3,3,7
Fourth or above,8,11,7
Fourth or above,5,1,7
Fourth or above,7,20,7
Fourth or above,4,4,6
Fourth or above,6,5,7
Fourth or above,7,2,7
Fourth or above,8,15,8
Fourth or above,2,3,8
Fourth or above,7,6,7
Fourth or above,9,7,7
Fourth or above,7,5,7
Fourth or above,8,6,7
Fourth or above,8,10,7
Fourth or above,8,10,5
Fourth or above,8,2,6
Fourth or above,7,15,7
Fourth or above,7,4,7
Fourth or above,5,4,8
Fourth or above,8,10,7
Fourth or above,10,10,6
Fourth or above,2,5,7
Fourth or above,6,37,8
Fourth or above,6,6,7
Fourth or above,1,2,8
Fourth or above,5,4,7
Fourth or above,2,0,8.5
Fourth or above,8,5,8
Fourth or above,3,1,8
Fourth or above,3,3,6
Fourth or above,6,5,7
Fourth or above,3,2,7
Fourth or above,6,4,7
Fourth or above,3,5,5
Fourth or above,6,3,6
Fourth or above,5,5,7
Fourth or above,5,5,7
Fourth or above,3,4,6
Fourth or above,9,2,6
Fourth or above,3,4,7
Fourth or above,3,4,7.5
Fourth or above,5,4,7
Fourth or above,5,5,6
Fourth or above,4,20,8
Fourth or above,3,4,7
Fourth or above,7,10,8
Fourth or above,3,2,8
Fourth or above,3,2,6
Fourth or above,8,7,4
Fourth or above,5,6,7
Fourth or above,5,3,7
Fourth or above,8,5,8
Fourth or above,7,2,8
Fourth or above,6,3,7
Fourth or above,8,5,7
Fourth or above,5,5,7
Fourth or above,3,4,8
Second,3,7,6.5
Second,3,1,9
Second,5,5,6
Second,5,6,6
Second,9,5,8
Second,5,4,5
Second,5,8,7
Second,6,6,7
Second,5,6,7.5
Second,4,8,8
Second,9,5,8
Second,9,20,9
Second,4,15,7
Second,7,5,7
Second,5,15,6
Second,4,10,8
Second,6,3,6
Second,7,8,7
Second,6,16,8
Second,8,6,5
Second,5,3,7
Second,5,10,8
Second,4,3,7
Second,6,4,8
Second,2,10,9
Second,3,4,7.5
Second,4,7,8
Second,7,20,8
Second,5,10,8
Second,6,20,7
Second,7,5,7
Second,9,10,9
Second,3,2,8
Second,4,4,7
Second,2,2,8
Second,9,8,6
Second,8,30,6
Second,5,2,8
Second,4,7,6
Second,4,5,7
Second,5,6,7
Second,5,7,8
Second,8,8,7
Second,4,5,7
Second,4,4,7
Second,2,5,7
Second,3,2,6
Second,9,11,8
Second,3,7,8
Second,7,15,8
Second,5,4,8
Second,5,5,7
Second,4,4,7
Second,8,5,7
Second,4,4,7
Second,8,5,7
Second,5,5,6
Second,1,3,3
Second,6,5,7.5
Second,4,5,7
Second,4,8,7
Second,8,15,7
Second,10,5,6
Second,7,5,6
Second,6,3,7
Second,4,6,7
Second,4,8,6
Second,4,4,6
Second,5,4,8
Second,9,5,6
Second,3,3,7
Second,3,4,7
Second,3,5,7
Second,4,5,7
Second,9,10,8
Second,3,3,7
Second,6,10,7
Second,8,10,7
Second,6,5,7
Second,9,25,7.5
Second,7,6,7
Second,7,10,7
Second,10,5,7.5
Second,2,5,8
Second,5,5,6
Second,9,15,6
Second,8,10,7
Second,7,6,7
Second,9,5,6
Second,6,15,8
Second,6,7,7
Second,4,4,7
Second,8,5,7.5
Second,8,6,7
Second,5,3,9
Second,7,2,8
Second,7,7,7
Second,3,5,8
Second,3,5,8
Second,7,7,6
Second,8,20,6
Second,2,5,6
Second,4,15,7
Second,3,6,8
Second,8,5,6
Second,5,3,5
Second,3,6,7
Second,5,3,6
Second,4,2,7
Second,6,5,6
Second,8,4,6
Second,2,3,7
Second,9,18,8
Second,3,10,6
Second,7,3,7
Second,6,5,7
Second,4,8,5.5
Second,6,5,6
Second,8,12,7.5
Second,10,25,7
Second,8,10,7
Second,6,4,6
Second,4,5,6
Second,3,10,7.5
Second,5,2,7
Second,7,5,9
Second,8,4,6
Second,9,10,8
Second,3,6,8
Second,6,20,7
Second,3,10,6
Second,7,8,7
Second,4,5,8.5
Second,5,3,8
Second,3,5,6
Second,8,3,8
Second,5,6,8
Second,9,5,7
Second,6,10,6
Second,4,4,7
Second,8,7,6
Second,3,4,7
Second,4,3,7
Second,6,6,6
Second,5,3,7
Second,6,3,6
Second,5,5,7
Second,7,6,5
Second,5,6,7
Second,3,5,6
Second,3,6,8
Second,3,4,8
Second,7,4,7.5
Second,5,2,8
Second,6,10,7
Second,6,15,6
Second,10,5,5
Second,2,2,8
Second,5,3,7
Second,7,5,8
Second,5,4,7
Second,9,20,7
Second,7,25,7.5
Second,3,2,8
Second,3,5,6
Second,7,15,7
Second,7,5,7
Second,4,6,6
Second,4,5,7
Second,7,20,7.5
Second,2,2,7
Second,4,3,9
Second,8,10,8
Second,9,15,8
Second,6,5,8
Second,7,15,7
Second,5,5,7
Second,6,6,6
Second,7,8,7
Second,7,5,7
Second,5,10,7
Second,6,6,8
Second,5,5,7
Second,3,10,6
Second,3,2,6
Second,4,5,7
Second,8,5,7
Second,8,10,8
Second,4,5,7
Second,7,4,6.5
Second,7,15,7
Second,6,6,6
Second,7,5,8
Second,7,7,6
Second,5,15,8
Second,4,4,7
Second,4,22,9
Second,4,5,9
Second,7,10,7
Second,8,10,7
Second,8,6,7
Second,2,3,7
Second,8,10,7
Second,5,7,7
Second,8,10,7
Second,5,5,8
Second,6,5,7
Second,3,8,6
Second,9,5,4
Second,3,2,7
Second,8,3,7
Second,7,6,7
Second,5,3,7
Second,8,12,6
Second,9,15,8
Second,9,20,7
Second,8,10,6
Second,4,5,7
Second,7,15,6
Second,7,6,7
Second,9,10,7
Second,9,20,7
Second,6,10,7
Second,8,7,7
Second,5,4,7
Second,7,20,7
Second,9,5,7
Second,6,3,7
Second,7,10,8
Second,4,3,6
Second,5,10,8
Second,10,10,6
Second,6,5,7
Second,6,20,7
Second,10,6,8
Second,4,3,5
Second,7,11,7
Second,7,8,6
Second,4,5,7.5
Second,3,4,6
Second,7,15,7
Second,6,10,6
Second,7,5,7
Second,7,7,7
Second,7,5,6
Second,3,15,8
Second,6,5,7
Second,5,4,7
Second,4,10,6
Second,8,10,8
Second,8,15,6
Second,5,4,7
Second,6,4,6
Second,8,15,7
Second,6,8,7
Second,6,18,7
Second,3,6,7
Second,4,3,7
Second,10,25,8
Second,4,0,8
Second,9,5,7
Second,10,20,7
Second,4,3,7.5
Second,5,4,7
Second,7,15,6
Second,2,10,7
Second,6,10,6
Second,8,10,6
Second,7,8,8
Second,4,12,6
Second,4,2,6
Second,9,8,6
Second,5,4,6
Second,9,10,7
Second,3,5,7
Second,8,20,8.5
Second,7,7,7
Second,4,12,4
Second,4,3,7
Second,3,5,6
Second,4,10,7
Second,7,5,7
Second,7,10,8
Second,8,8,6.5
Second,5,4,8
Second,5,10,8
Second,8,10,7
Second,5,7,6
Second,7,5,7
Second,3,3,7
Second,9,15,6
Second,8,5,6
Second,4,2,7
Second,3,5,8
Second,6,15,8
Second,6,10,6
Second,5,4,7
Second,6,10,8
Second,8,3,8
Second,7,8,7
Second,7,6,7
Second,7,3,7
Second,8,10,6
Second,6,5,6
Second,8,6,6
Second,8,10,8
Second,9,21,8
Second,8,10,8
Second,4,3,4
Second,7,8,7
Second,5,5,6
Second,9,20,7
Second,7,15,9
Second,7,10,7
Second,5,7,6
Second,9,20,6
Second,8,20,7
Second,6,8,6
Second,7,5,6
Second,2,6,6
Second,5,5,8
Second,5,1,6
Second,3,3,6.5
Second,2,3,6
Second,8,5,7
Second,3,5,6
Second,8,7,7.7
Second,8,10,7
Second,7,6,6
Second,6,10,7
Second,5,6,8
Second,5,7,7
Second,2,2,5.5
Second,8,50,7
Second,4,4,6
Second,9,20,7.5
Second,2,3,6
Second,7,10,7
Second,4,10,6
Second,8,8,6
Second,4,2,5
Second,9,3,7
Second,8,6,6
Second,3,5,6
Second,4,12,6.5
Second,7,6,8
Second,8,6,6
Second,7,5,6
Second,8,15,8
Second,9,6,7
Second,7,6,6
Second,6,5,7
Second,6,10,6
Second,5,10,8
Second,8,10,6
Second,2,4,7
Second,7,7,7
Second,9,20,8
Second,7,10,7
Second,4,5,6
Second,4,10,6
Second,1,1,5
Second,8,6,7
Second,1,10,7
Second,7,10,7
Second,7,10,9
Second,4,12,6
Second,8,10,6
Second,7,7,6
Second,6,10,7
Second,4,10,8
Second,10,15,7
Second,9,2,5
Second,5,15,8
Second,10,15,7
Third,7,12,8
Third,8,10,8
Third,7,10,7
Third,5,3,7
Third,5,3,8
Third,7,3,6
Third,10,20,6.5
Third,4,3,7
Third,7,6,7
Third,7,10,9
Third,5,3,7
Third,4,15,7
Third,3,2,7
Third,1,1,9
Third,8,20,7
Third,4,2,8
Third,7,5,8
Third,3,4,8
Third,7,3,6
Third,6,3,7
Third,5,5,7
Third,8,10,6
Third,8,2,7
Third,6,7,8
Third,4,5,8
Third,4,15,8
Third,8,2,7
Third,7,5,7
Third,7,5,7
Third,2,2,7
Third,3,7,7
Third,4,5,5
Third,4,10,7
Third,6,3,7
Third,6,10,7
Third,9,6,8
Third,5,2,8
Third,3,5,7
Third,3,3,6
Third,1,3,8
Third,5,3,8
Third,9,10,7.5
Third,5,5,7
Third,9,5,8
Third,1,5,6
Third,3,4,6.5
Third,5,3,5
Third,4,5,8
Third,7,4,6
Third,5,2,7
Third,2,3,7
Third,5,8,8
Third,3,4,8
Third,4,5,6
Third,1,10,8
Third,7,13,8.5
Third,6,3,8.5
Third,8,10,7
Third,8,10,8
Third,10,5,8
Third,7,10,7
Third,4,3,6
Third,2,4,6
Third,8,3,5
Third,5,2,7
Third,7,3,7
Third,4,10,7
Third,3,3,8
Third,5,2,6
Third,5,3,6
Third,8,5,8
Third,7,4,8
Third,8,5,7
Third,5,5,7
Third,6,10,8
Third,7,7,8
Third,5,8,7
Third,3,3,6
Third,4,3,6
Third,6,4,7
Third,3,3,8
Third,7,3,7
Third,9,10,8
Third,6,5,8
Third,5,4,7.5
Third,2,3,7
Third,3,4,6
Third,3,1,6
Third,8,10,7
Third,3,3,8
Third,6,15,7
Third,5,0,5
Third,6,5,7
Third,4,5,7
Third,6,1,7
Third,4,3,7
Third,8,4,7
Third,7,3,7
Third,7,3,8
Third,8,5,7
Third,8,9,8
Third,5,5,8
Third,4,6,8
Third,6,5,8
Third,5,3,9
Third,5,4,7
Third,5,4,7
Third,5,3,7
Third,3,4,7
Third,6,5,7
Third,8,5,7
Third,5,5,6
Third,8,6,6
Third,5,5,7
Third,4,5,6.5
Third,7,6,8
Third,8,10,7
Third,7,7,6
Third,3,2,7
Third,5,6,6
Third,2,2,8
Third,2,3,8
Third,5,30,8
Third,7,4,9
Third,4,5,8
Third,9,10,7
Third,6,6,6
Third,4,4,8
Third,10,20,7
Third,5,0,7
Third,8,4,7
Third,7,5,7.5
Third,5,3,7
Third,2,3,6
Third,8,15,7
Third,3,8,6
Third,9,20,7.5
Third,2,4,6
Third,6,6,7
Third,1,1,6
Third,5,20,7
Third,7,20,8
Third,7,3,8
Third,4,4,7
Third,10,25,7.5
Third,8,4,9
Third,8,15,8
Third,9,5,7
Third,6,4,5
Third,4,5,7
Third,9,8,7
Third,6,5,5
Third,8,7,6
Third,6,12,8
Third,9,30,7
Third,6,4,7
Third,6,3,7
Third,6,8,7
Third,3,3,6
Third,8,12,7
Third,4,12,7
Third,3,3,6
Third,3,1,8
Third,8,6,7
Third,5,9,7
Third,3,8,6
Third,6,10,7
Third,4,3,6
Third,3,8,8
Third,9,3,8
Third,3,1,5
Third,6,2,6
Third,6,10,7
Third,8,20,7
Third,6,4,7
Third,6,5,7
Third,5,10,7
Third,7,10,7
Third,6,5,7
Third,4,0,8
Third,7,10,7
Third,7,5,6
Third,2,2,7
Third,7,5,6
Third,5,3,9
Third,4,3,7
Third,6,3,7
Third,6,6,5
Third,4,6,8
Third,8,10,7.5
Third,6,5,7
Third,7,9,9
Third,7,4,8
Third,8,7,8
Third,4,4,8
Third,4,4,7
Third,7,15,4
Third,6,10,6
Third,9,2,7
Third,3,5,7
Third,4,5,9
Third,6,3,8
Third,4,5,6.5
Third,4,3,8
Third,5,6,8
Third,2,3,6
Third,4,7,8
Third,4,4,7
Third,8,5,8
Third,8,7,7
Third,2,5,6
Third,7,5,7
Third,5,4,7
Third,7,7,8
Third,3,3,7
Third,3,2,7
Third,7,6,8
Third,9,8,8
Third,3,6,7
Third,5,8,8
Third,10,12,8
Third,4,5,7
Third,8,4,7
Third,7,8,6
Third,4,5,7
Third,3,2,7
Third,3,3,8
Third,7,8,8.5
Third,7,8,8
Third,5,3,8
Third,2,1,7
Third,5,2,5
Third,7,10,7
Third,2,3,5
Third,6,10,7
Third,3,4,8
Third,8,5,8
Third,8,4,7
Third,5,3,7
Third,8,10,6
Third,6,6,7
Third,3,5,7
Third,3,2,6
Third,4,8,6
Third,5,5,8
Third,5,5,7
Third,7,15,8
Third,6,6,7
Third,10,7,5
Third,8,5,6
Third,8,12,7
Third,3,4,8
Third,8,6,6
Third,7,3,7
Third,7,6,7
Third,7,20,10
Third,6,4,4
Third,8,5,7
Third,7,20,7
Third,6,8,6.5
Third,9,5,7
Third,5,4,6
Third,8,7,7
Third,5,3,8
Third,8,10,7
Third,3,5,10
Third,5,10,8
Third,8,4,7
Third,4,3,9
Third,7,10,7
Third,8,10,7
Third,3,2,7
Third,4,3,8
Third,8,5,6
Third,7,10,8
Third,4,12,8
Third,5,4,7
Third,8,10,8
Third,3,2,8
Third,7,10,5
Third,7,15,7
Third,8,9,6
Third,7,7,8
Third,7,7,6
Third,6,15,7
Third,7,6,6
Third,4,3,8
Third,5,10,8
Third,4,2,8
Third,4,6,7
Third,5,10,6
Third,7,10,7.5
Third,7,4,8
Third,3,3,6.5
Third,8,11,6
Third,5,6,7
Third,3,6,7
Third,8,3,6
Third,3,2,7
Third,3,7,7
Third,5,7,7
Third,6,3,5
